2020-12-06 23:27:14.700892||meta||agents||4
2020-12-06 23:27:14.700976||meta||treatnames||A (men's search)@|B (women's search)
2020-12-06 23:27:14.701369||meta||block_id start||0
2020-12-06 23:27:14.701391||meta||assignment||0@|2@|1@|3
2020-12-06 23:39:13.151044||measurement||ad||2020-12-06 23:38:48.936904@|ad - cocktails@|Ads@|Cocktails at Amazon® - Amazon Official Site@|Ad·www.amazon.com/Buy Cocktails at Amazon. Free Shipping on Qualified Orders.Rating for amazon.com: 4.5 - Order accuracy: 95–100%Shop Holiday Gift Guides · Amazon Gift Cards · Amazon Prime Benefits · Holiday Toy List||3||1
2020-12-06 23:39:13.159982||measurement||ad||2020-12-06 23:38:46.553871@|ad - cocktails@|Ads@|Shop Cocktails on Amazon - Low Prices for Cocktails@|Ad·www.amazon.com/Read Customer Reviews & Find Best Sellers. Fast Free Delivery w/Amazon Prime.Rating for amazon.com: 4.5 - On-time delivery: 94%+Amazon Prime Benefits · Amazon Gift Cards · Deals on Amazon Devices · Shop with Points||0||0
2020-12-06 23:39:17.658079||measurement||ad||2020-12-06 23:38:45.702051@|ad - cocktails@|Ads@|Cocktails at Amazon® - Amazon Official Site@|Ad·www.amazon.com/Buy Cocktails at Amazon. Free Shipping on Qualified Orders.Rating for amazon.com: 4.5 - On-time delivery: 94%+Shop Holiday Gift Guides · Shop with Points · Amazon Prime Benefits · Holiday Toy ListCocktail Kits 2 Go - DIY home bar kitsAd·www.cocktailkits2go.com/Make a cocktail or mocktail Virtual Happy Hour anywhere, anytime.Cocktails From HomeAd·www.cocktailsfromhome.com/Everything Delivered To Your Door, Your Bartender Can Put Together All The Ingredients. Your Custom Event And Mail Them Out To The Participants In Your Group. Perfect For Events. Popular Cocktails. Great For Team Events. Step By Step Instructions.What We Offer · Contact Us · Home||2||0
2020-12-06 23:39:17.883237||measurement||ad||2020-12-06 23:38:51.652081@|search - cocktails@|The 50 Most Popular Cocktails in the World (UPDATED 2020 ...@|vinepair.com@|Nov 7, 2017 — The 50 Most Popular Cocktails in the World in 2020. Blood & Sand. Sidecar. Vodka Martini. Americano. Mai Tai. Tommy's Margarita. Gimlet. Margarita. Your Wine Might Have More ... · Negroni · Margarita · Sidecar||1||1
2020-12-06 23:39:20.290167||measurement||ad||2020-12-06 23:38:51.652081@|search - cocktails@|24 Classic Cocktails Everyone Should Know - Easy Cocktail ...@|www.goodhousekeeping.com@|5 days ago — 24 Totally Delicious Classic Cocktails to Make at Home. Use this handy guide for making classic cocktails, from Daiquiris to Old-Fashioneds and ...||1||1
2020-12-06 23:39:22.433033||measurement||ad||2020-12-06 23:38:51.652081@|search - cocktails@|21 Most Popular Bar Drinks Ever - Classic Cocktails You ...@|www.townandcountrymag.com@|Jun 24, 2020 — Barflies have been sipping classic cocktails for decades because they're timeless. Here are the most popular drinks to order at a bar.||1||1
2020-12-06 23:39:22.883331||measurement||ad||2020-12-06 23:38:51.652081@|search - cocktails@|Cocktail Recipes - Liquor.com@|www.liquor.com@|Discover your new favorite cocktail recipe or learn how to make a classic drink—like the Old Fashioned, mojito, or White Russian—right at home.||1||1
2020-12-06 23:39:23.325053||measurement||ad||2020-12-06 23:38:51.652081@|search - cocktails@|The 10 Most Popular Cocktails - Liquor.com@|www.liquor.com@|Sep 17, 2020 — The 10 Most Popular Cocktails Right Now · Bourbon Old Fashioned Bourbon Old Fashioned Liquor.com / Tim Nusog · Negroni Negroni Liquor.||1||1
2020-12-06 23:39:23.657199||measurement||ad||2020-12-06 23:38:51.652081@|search - cocktails@|Cocktail - Wikipedia@|en.wikipedia.org@|A cocktail is an alcoholic mixed drink, which is either a combination of spirits, or one or more spirits mixed with other ingredients such as fruit juice, flavored syrup ...||1||1
2020-12-06 23:39:24.004821||measurement||ad||2020-12-06 23:38:51.652081@|search - cocktails@|List of cocktails - Wikipedia@|en.wikipedia.org@|A cocktail is a mixed drink typically made with a distilled liquor as its base ingredient that is then mixed with other ingredients or garnishments. Sweetened ...||1||1
2020-12-06 23:39:24.446269||measurement||ad||2020-12-06 23:38:51.652081@|search - cocktails@|A to Z Cocktail Recipe Collection - The Spruce Eats@|www.thespruceeats.com@|You know it begins with a "B," but what was it? From black or blue drinks to famous classic cocktails, this is a fun collection of drinks. Bacardi Cocktail (rum); Batida ...||1||1
2020-12-06 23:39:25.158397||measurement||ad||2020-12-06 23:38:51.652081@|ad - cocktails@|Ads@|Cocktails at Amazon® - Amazon Official Site@|Ad·www.amazon.com/Buy Cocktails at Amazon. Fast Free Delivery on Qualified Orders.||1||1
2020-12-06 23:39:35.429277||measurement||ad||2020-12-06 23:38:51.652081@|ad - cocktails@|Ads@|Cocktail Kits 2 Go - DIY home bar kits@|Ad·www.cocktailkits2go.com/Make a cocktail or mocktail Virtual Happy Hour anywhere, anytime.||1||1
2020-12-06 23:39:41.427380||measurement||ad||2020-12-06 23:38:46.553871@|search - belts@|Mens Belts | Amazon.com@|www.amazon.com@|Results 1 - 48 of 7000+ — Shop for mens belts on Amazon.com. Free shipping and free returns on eligible items. Men's Belt, Bulliant Slide ... · Dockers Men's Leather Casual ...||0||0
2020-12-06 23:39:41.850077||measurement||ad||2020-12-06 23:38:46.553871@|search - belts@|Men's Belts | Duluth Trading Company@|www.duluthtrading.com@|19 Results — Keep your pants on! Our leather belt and men's belt selection will do the trick. Shop now. Men's Lifetime Leather Belt · Men's Buckle-less Belt · Men's Lifetime Leather Silver ...||0||0
2020-12-06 23:39:41.991671||measurement||ad||2020-12-06 23:38:51.652081@|ad - cocktails@|Ads@|Cocktails From Home@|Ad·www.cocktailsfromhome.com/Everything Delivered To Your Door, Your Bartender Can Put Together All The Ingredients.||1||1
2020-12-06 23:39:42.087111||measurement||ad||2020-12-06 23:38:46.553871@|search - belts@|Men's Belts | Nordstrom@|www.nordstrom.com@|Free shipping on men's belts at Nordstrom.com. Shop leather, reversible, printed & woven belts for men from the best brands. Totally free shipping & returns.||0||0
2020-12-06 23:39:42.530152||measurement||ad||2020-12-06 23:38:46.553871@|search - belts@|Women's Belts | Nordstrom@|www.nordstrom.com@|Shop online for Women's Belts at Nordstrom.com. Find leather, suede & chain belts & complete any look. Free Shipping. Free Returns. All the time. Faux Leather · Plastic · MCM · Topshop||0||0
2020-12-06 23:39:42.775540||measurement||ad||2020-12-06 23:38:46.553871@|search - belts@|Cute Belts for Women | Tillys@|www.tillys.com@|Make your outfit go from good to great with a belt! Shop Tillys for the best selection of women's belts: faux leather & suede, western, braided & more.||0||0
2020-12-06 23:39:43.059942||measurement||ad||2020-12-06 23:38:46.553871@|search - belts@|Women's belts | Leather, waist & elastic belts | ASOS@|www.asos.com@|Express your personality and dial up your outfit with a bold, printed strap or a standout chain belt from My Accessories. Our classic leather belts make great ...||0||0
2020-12-06 23:39:43.299892||measurement||ad||2020-12-06 23:38:46.553871@|search - belts@|Leather Belts for Men and Women | Belts.com@|www.belts.com@|Home · Men's Belts · Men's Dress Belts · Men's Casual Leather Jean Belts · Men's Western Belts · Men's Concho Belts · Men's Office Career Belts · Men's Golf ...||0||0
2020-12-06 23:39:43.525194||measurement||ad||2020-12-06 23:38:46.553871@|search - belts@|Men's Belts + FREE SHIPPING | Accessories | Zappos.com@|www.zappos.com@|595 items — Your Selections. Accessories · Belts · Men; Brown; Black; Leather; Casual; Salvatore Ferragamo; Tan; Gray; Dress; Allen Edmonds; 5.11 Tactical||0||0
2020-12-06 23:39:43.763611||measurement||ad||2020-12-06 23:38:46.553871@|search - belts@|Mens Belts & Suspenders - Macy's@|www.macys.com@|Shop the Latest Collection of Belts & Suspenders for Men Online at Macys.com. FREE SHIPPING AVAILABLE!||0||0
